sample,Cytotoxicity,tissue,InfiltrationScore,Antigen Proc & Pres,Antimicrobials,BCR Signaling Pathway,Chemokines,Chemokine Rcps,Cytokines,Cytokine Rcps,Interferons,Interferon Rcps,Interleukins,Interleukin Rcps,NK Cell Cytotoxicity,TCR Signaling Pathway,TNF Fam Mems,TNF Fam Mem Rcps,Antigen Pres,Cytotoxic T & NK Cells,B Cells,Anti Tumor Microenvironment,Checkpoint Inhibition
TCGA-AD-6965-01,0.253413543,COAD,0.784,0.325041672,0.232327297,0.188256412,0.233305938,0.236330498,0.17688924,0.24256946,-0.22995452,0.469691558,0.064987091,0.276502768,0.27474679,-0.024591007,0.29983478,0.334073138,0.527068561,0.348778499,0.337057307,0.22039347,0.35367822
TCGA-D5-6931-01,0.311643726,COAD,0.867,0.351569721,0.25357308,0.295510855,0.284856167,0.273305553,0.192889758,0.264979349,-0.221580277,0.469453953,0.127741049,0.313148296,0.296912678,0.045168609,0.317934747,0.370711133,0.608908647,0.437430234,0.420619786,0.334409111,0.437537765
TCGA-A6-5656-01,0.238121133,COAD,0.807,0.308894937,0.222832864,0.045563389,0.239051466,0.213098027,0.14210571,0.221712181,-0.152490989,0.471391013,0.076160626,0.253796659,0.251459046,-0.044215746,0.287183641,0.245625557,0.530613786,0.23617646,-0.01130304,0.18252545,0.281621741
TCGA-DM-A1DA-01,0.150903669,COAD,0.72,0.333901442,0.216711634,0.185920234,0.223821481,0.21018922,0.143383701,0.22086337,-0.242211556,0.454952265,0.066790592,0.268688225,0.270578652,-0.079595386,0.243152573,0.337298043,0.512799358,0.343126764,0.263170582,0.197672526,0.326286989
TCGA-F4-6461-01,0.194118341,COAD,0.796,0.341444808,0.248011908,0.218952117,0.27269297,0.255108274,0.193972214,0.269875656,-0.219839887,0.473925532,0.094350495,0.297562341,0.295689069,0.011848766,0.349944961,0.361808799,0.605965419,0.383683234,0.550675261,0.276677173,0.412503502
TCGA-F4-6703-01,0.555892459,COAD,0.854,0.375927154,0.301533207,0.302025786,0.348374215,0.307539838,0.227089488,0.285991357,-0.194967093,0.485503566,0.214006132,0.334364418,0.327574389,0.070067935,0.352711836,0.376426104,0.653567618,0.539947502,0.397020879,0.399886878,0.547674285
TCGA-AA-3492-01,0.30331062,COAD,0.766,0.350606941,0.25476126,0.219271782,0.294896381,0.257698625,0.190171818,0.251051738,-0.205678364,0.476880174,0.131437862,0.298818658,0.294488394,-0.000189067,0.332684756,0.327075639,0.607415921,0.451935845,0.249391596,0.298845505,0.43103982
TCGA-G4-6293-01,0.437429134,COAD,0.869,0.352542972,0.262774875,0.283203675,0.294396116,0.27463004,0.19037484,0.258101372,-0.241296786,0.487175414,0.145999613,0.316483791,0.303451439,0.051835503,0.332618697,0.388842466,0.604770025,0.477068893,0.431483991,0.326275688,0.448702434
TCGA-AA-3496-01,0.402478901,COAD,0.833,0.343365779,0.26013071,0.246481053,0.296521216,0.276702162,0.185723828,0.268476443,-0.222000447,0.461317489,0.137660767,0.320975447,0.294172255,0.04594684,0.312107484,0.357065561,0.608476366,0.459975464,0.35804151,0.324943806,0.446715618
TCGA-G4-6625-01,0.483854042,COAD,0.85,0.358330185,0.269102119,0.293179162,0.310054931,0.279465343,0.206684519,0.272740807,-0.248111199,0.47143265,0.141212759,0.321095303,0.303417419,0.054681834,0.32720931,0.375320997,0.638720933,0.497232835,0.480870983,0.361799762,0.489170325
