Cell,Quiescence,Terminal_exhaustion,Progenitor_exhaustion,Senescence,Cytotoxicity,Regulating,Proliferation,Helper
Tfh,0.613520499,0.367212665,0.368714997,0.184945484,0.374368441,0.21498418,0.221457149,0.44241157
Tfh,0.628281607,0.344698037,0.478789115,0.04415347,0.39294919,0.148913252,0.172954584,0.348390222
Tfh,0.613472831,0.361079141,0.325216534,0.095148253,0.221415208,0.21545694,0.206434197,0.375505171
Tfh,0.646122333,0.360433183,0.444677286,0.201075401,0.410940414,0.222043544,0.2062989,0.419434531
Tfh,0.665475293,0.337035512,0.372468373,0.084917582,0.190791802,0.102816686,0.203180924,0.327427671
Tfh,0.663429634,0.383613892,0.470492895,0.154388899,0.393220154,0.17031004,0.285518665,0.479581375
Tfh,0.682861633,0.378975576,0.460795333,0.109161127,0.338659097,0.183243142,0.251282858,0.409318257
Tfh,0.651098932,0.370534434,0.539438631,0.155209523,0.366779879,0.131554674,0.274124404,0.357523858
Tfh,0.661716817,0.357511799,0.340519458,0.089759416,0.29675981,0.109471277,0.397027681,0.384891666
Th,0.615044955,0.440560224,0.166751081,0.150662827,0.421839407,0.274726295,0.502343173,0.185124377
Th,0.610989011,0.427677842,0.153209041,0.145382197,0.405661644,0.255258109,0.497989975,0.182990575
Th,0.558635093,0.413607707,0.305524772,0.166014968,0.490060199,0.395428646,0.472906064,0.290993978
Th,0.552808637,0.404362744,0.217266563,0.169483424,0.470024893,0.40516429,0.473301056,0.294271839
Th,0.437643778,0.403009013,0.215530671,0.122190132,0.342113799,0.270810997,0.551828343,0.232669023
Th,0.448244751,0.382952459,0.214627586,0.137357393,0.37341372,0.375255468,0.556444351,0.256917732
Th,0.140740222,0.308930508,0.217480872,0.087402451,0.256128207,0.222601549,0.395180791,0.23751134
Th,0.294377578,0.333725667,0.252732925,0.156994698,0.265634875,0.262019328,0.401799387,0.283812782
Th,0.20262272,0.340117049,0.26345439,0.154559271,0.238654669,0.300396084,0.40153562,0.185760312
Th,0.352591741,0.297586343,0.200892706,0.054689649,0.260172398,0.158124882,0.470438494,0.2678159
Th,0.237786834,0.291474523,0.331456263,0.042884108,0.242593162,0.176870073,0.470494854,0.275822937
Th,0.376455753,0.2753391,0.201715907,0.135233636,0.236007583,0.155226829,0.464475726,0.278291786
Th,0.170351584,0.285712284,0.263153996,0.013398194,0.283297942,0.154222962,0.370843103,0.242953774
Th,0.272200856,0.26252553,0.230891952,0.029192081,0.258443914,0.181549542,0.375772978,0.268167939
Th,0.339255949,0.322047763,0.256268256,0.059348881,0.244687113,0.26902451,0.404255595,0.300326984
Tn,0.611427558,0.196800475,0.273786753,0.084568352,0.113212285,0.026061425,0.139633001,0.002301142
Tn,0.594173134,0.242250674,0.351495,0.061531686,0.188244012,0.037915123,0.119584237,0.003489649
Tn,0.583719148,0.247323834,0.332957775,0.09440896,0.139258681,0.028555559,0.134504722,0.001374047
Tn,0.763656524,0.236521839,0.237036634,0.1492939,0.175992561,0.143211891,0.178759833,0.195687053
Tn,0.736809452,0.277369558,0.159363599,0.285977781,0.15403912,0.16682393,0.226125521,0.144069573
Tn,0.745492337,0.206964074,0.215733601,0.31583626,0.101252188,0.114919451,0.200391864,0.100291959
Tn,0.865312032,0.227099503,0.20385719,0.14292897,0.14041991,0.115418948,0.282949657,0.310914742
Tn,0.784227942,0.212716918,0.199862426,0.137158534,0.169264694,0.066632466,0.225951331,0.097071324
Tn,0.773626239,0.260124799,0.20321934,0.380923506,0.161570332,0.115310295,0.249082576,0.326855384
Tn,0.739821625,0.233475787,0.275699014,0.123478497,0.202953211,0.04487908,0.235221688,0.076617496
Tn,0.745655322,0.220339875,0.210920159,0.100548992,0.13836254,0.10951753,0.300360069,0.206145964
Tn,0.694137091,0.244543835,0.244609274,0.114169226,0.209951878,0.030935028,0.194040613,0.020205789
Tn,0.807961334,0.231851144,0.171208605,0.291073201,0.13928004,0.092264793,0.251265696,0.244023318
Tn,0.751212947,0.198351075,0.286225579,0.286415668,0.10436348,0.027623515,0.177633589,0.010760004
Tn,0.672809375,0.235403495,0.253194803,0.06167956,0.10457678,0.041552315,0.114455596,0.007003648
Tn,0.630809392,0.125553245,0.152011575,0.108002325,0.07178593,0.042267958,0.065969581,0
Tn,0.644441131,0.209159269,0.232789463,0.135628539,0.095451408,0.02383485,0.077651799,0
Tprolif,0.475628182,0.373636772,0.325244976,0.187178571,0.272385951,0.368250809,0.476713532,0.263762164
Tprolif,0.483594888,0.371912753,0.297976374,0.154605898,0.31085981,0.320337265,0.496762873,0.304398381
Tprolif,0.586992166,0.384116432,0.358245548,0.335040331,0.329628746,0.267483758,0.503505623,0.283356506
Tprolif,0.47712599,0.374008733,0.306089438,0.154661478,0.256040498,0.388724648,0.470900562,0.282492165
Tprolif,0.490318331,0.368559147,0.288517832,0.208367178,0.283379849,0.31607762,0.483081556,0.308788065
Tprolif,0.562059624,0.389669902,0.355356448,0.345075935,0.354328359,0.339010942,0.509752417,0.2874142
Tscm,0.59533172,0.313863606,0.349615473,0.154456834,0.25471205,0.018319798,0.166090428,0
Tscm,0.566488544,0.326236733,0.385896045,0.363625137,0.421909707,0.054063634,0.195166054,0.033556064
Tscm,0.6244801,0.361148829,0.285164227,0.165576458,0.270451961,0.042400903,0.09314709,0.010839666
