"cluster","genes","expressions"
"COVID","Cytotoxicity",0.787061332842302
"COVID","Cytotoxicity",0.758512482929
"COVID","Cytotoxicity",0.527588582829892
"COVID","Cytotoxicity",0.750139068888602
"COVID","Cytotoxicity",0.72943582274072
"COVID","Cytotoxicity",0.288521987975246
"COVID","Cytotoxicity",0.64516506116555
"COVID","Cytotoxicity",0.315551197330888
"COVID","Cytotoxicity",0.245705564888956
"COVID","Cytotoxicity",0.267081855935657
"COVID","Cytotoxicity",0.497935721885441
"COVID","Cytotoxicity",0.362656271141145
"COVID","Cytotoxicity",0.33547445376835
"COVID","Cytotoxicity",0.643404688339188
"COVID","Cytotoxicity",0.474862314557127
"COVID","Cytotoxicity",0.385503760349245
"COVID","Cytotoxicity",0.564351699178297
"COVID","Cytotoxicity",0.618332610544957
"COVID","Cytotoxicity",0.41799186837563
"COVID","Cytotoxicity",0.462868390479426
"COVID","Cytotoxicity",0.771532477098007
"COVID","Cytotoxicity",0.530717535508649
"COVID","Cytotoxicity",0.386059246175618
"COVID","Cytotoxicity",0.826942257821971
"COVID","Cytotoxicity",0.412151837603211
"COVID","Cytotoxicity",0.388170710350065
"COVID","Cytotoxicity",0.776304684742746
"COVID","Cytotoxicity",0.766054412373981
"COVID","Cytotoxicity",0.502187816577996
"COVID","Cytotoxicity",0.706700070545609
"COVID","Cytotoxicity",0.824993478494376
"COVID","Cytotoxicity",0.807024812410809
"COVID","Cytotoxicity",0.658975998203975
"COVID","Cytotoxicity",0.503105872882072
"COVID","Cytotoxicity",0.678576074336208
"COVID","Cytotoxicity",0.782120333287299
"COVID","Cytotoxicity",0.564183016407678
"COVID","Cytotoxicity",0.491369776409569
"COVID","Cytotoxicity",0.765386917092483
"COVID","Cytotoxicity",0.797610827233807
"COVID","Cytotoxicity",0.796521352176648
"COVID","Cytotoxicity",0.564182138062444
"COVID","Cytotoxicity",0.296533236205597
"COVID","Cytotoxicity",0.60672024986154
"COVID","Cytotoxicity",0.793866715769768
"COVID","Cytotoxicity",0.802789669935092
"COVID","Cytotoxicity",0.768236564230786
"COVID","Cytotoxicity",0.776320029461861
"COVID","Cytotoxicity",0.762473419568082
"COVID","Cytotoxicity",0.736081999058391
"COVID","Cytotoxicity",0.778483634857064
"COVID","Cytotoxicity",0.791994660037748
"COVID","Cytotoxicity",0.645133383562947
"COVID","Cytotoxicity",0.476241788270361
"COVID","Cytotoxicity",0.491553315350434
"COVID","Cytotoxicity",0.116321036755652
"COVID","Cytotoxicity",0.420747781079026
"COVID","Cytotoxicity",0.65904911467883
"COVID","Cytotoxicity",0
"COVID","Cytotoxicity",0.375925994788264
"COVID","Cytotoxicity",0.318607055695982
