"score_type","score","cell_type"
"Cytotoxicity",0.227830618473834,"CD4 Tcm"
"Cytotoxicity",0.226021700262583,"CD4 Tcm"
"Cytotoxicity",0.17532079642168,"CD4 Tcm"
"Cytotoxicity",0.177854621284813,"CD4 Tcm"
"Cytotoxicity",0.191366370726452,"CD4 Tcm"
"Cytotoxicity",0.123499959930787,"CD4 Tcm"
"Cytotoxicity",0.248305003894072,"CD4 Tcm"
"Cytotoxicity",0.222156353348594,"CD4 Tcm"
"Cytotoxicity",0.118414666072022,"CD4 Tcm"
"Cytotoxicity",0.205816618775246,"CD4 Tcm"
"Cytotoxicity",0.128824250994831,"CD4 Tcm"
"Cytotoxicity",0.199775122053383,"CD4 Tcm"
"Cytotoxicity",0.183385981648509,"CD4 Tcm"
"Cytotoxicity",0.122517092566282,"CD4 Tcm"
"Cytotoxicity",0.107468891999676,"CD4 Tcm"
"Cytotoxicity",0.192322568002543,"CD4 Tcm"
"Cytotoxicity",0.606499383689875,"CD4 Tem"
"Cytotoxicity",0.607918337588213,"CD4 Tem"
"Cytotoxicity",0.675545240913465,"CD4 Tem"
"Cytotoxicity",0.523287361097167,"CD4 Tem"
"Cytotoxicity",0.796885390921251,"CD4 Tem"
"Cytotoxicity",0.737604595088836,"CD4 Tem"
"Cytotoxicity",0.725186638761869,"CD4 Tem"
"Cytotoxicity",0.713300353993188,"CD4 Tem"
"Cytotoxicity",0.691714598892758,"CD4 Tem"
"Cytotoxicity",0.662261672019256,"CD4 Tem"
"Cytotoxicity",0.523055562213634,"CD4 Tem"
"Cytotoxicity",0.64150151173336,"CD4 Tem"
"Cytotoxicity",0.711023622962287,"CD4 Tem"
"Cytotoxicity",0.768517859188906,"CD4 Tem"
"Cytotoxicity",0.699824739085151,"CD4 Tem"
"Cytotoxicity",0.591054010749076,"CD4 Tem"
"Cytotoxicity",0.582859316017799,"CD4 Tem"
"Cytotoxicity",0.699565066878349,"CD4 Tem"
"Cytotoxicity",0.705407652656532,"CD4 Tem"
"Cytotoxicity",0.650404451750422,"CD4 Tem"
"Cytotoxicity",0.669487778953702,"CD4 Tem"
"Cytotoxicity",0.707727223434085,"CD4 Tem"
"Cytotoxicity",0.66736527547036,"CD4 Tem"
"Cytotoxicity",0.567063751170267,"CD4 Tem"
"Cytotoxicity",0.542938521935006,"CD4 Tem"
"Cytotoxicity",0.617518443555404,"CD4 Tem"
"Cytotoxicity",0.676465097742062,"CD4 Tem"
"Cytotoxicity",0.780798565722239,"CD4 Tem"
"Cytotoxicity",0.578507046435462,"CD4 Tem"
"Cytotoxicity",0.784817500952718,"CD4 Tem"
"Cytotoxicity",0.549655825814505,"CD4 Tem"
"Cytotoxicity",0.726464693351839,"CD4 Tem"
"Cytotoxicity",0.68779756333162,"CD4 Tem"
"Cytotoxicity",0.664007468767624,"CD4 Tem"
"Cytotoxicity",0.671618903277974,"CD4 Tem"
"Cytotoxicity",0.579354725979723,"CD4 Tem"
"Cytotoxicity",0.737794814633674,"CD4 Tem"
"Cytotoxicity",0.727043250180119,"CD4 Tem"
"Cytotoxicity",0.610958604169093,"CD4 Tem"
"Cytotoxicity",0.635475421909293,"CD4 Tem"
"Cytotoxicity",0.646987396555538,"CD4 Tem"
"Cytotoxicity",0.620971700774551,"CD4 Temra"
"Cytotoxicity",0.641485615287793,"CD4 Temra"
"Cytotoxicity",0.563431043217969,"CD4 Temra"
"Cytotoxicity",0.641846382018525,"CD4 Temra"
"Cytotoxicity",0.602420769613717,"CD4 Temra"
"Cytotoxicity",0.714790733565772,"CD4 Temra"
"Cytotoxicity",0.642612619479925,"CD4 Temra"
"Cytotoxicity",0.700155930311159,"CD4 Temra"
"Cytotoxicity",0.57653505022333,"CD4 Temra"
"Cytotoxicity",0.680799067686758,"CD4 Temra"
"Cytotoxicity",0.642751227267623,"CD4 Temra"
"Cytotoxicity",0.629398184724161,"CD4 Temra"
"Cytotoxicity",0.573198233293379,"CD4 Temra"
"Cytotoxicity",0.587463914309877,"CD4 Temra"
"Cytotoxicity",0.687912719236841,"CD4 Temra"
"Cytotoxicity",0.646661877036119,"CD4 Temra"
"Cytotoxicity",0.669314218280391,"CD4 Temra"
"Cytotoxicity",0.553727034852009,"CD4 Temra"
"Cytotoxicity",0.602342056591817,"CD4 Temra"
"Cytotoxicity",0.657923470517371,"CD4 Temra"
"Cytotoxicity",0.563651894977308,"CD4 Temra"
"Cytotoxicity",0.660982648635579,"CD4 Temra"
"Cytotoxicity",0.686565786157241,"CD4 Temra"
"Cytotoxicity",0.62143951906365,"CD4 Temra"
"Cytotoxicity",0.578226363204565,"CD4 Temra"
"Cytotoxicity",0.632625756173622,"CD4 Temra"
"Cytotoxicity",0.523987392282368,"CD4 Temra"
"Cytotoxicity",0.658973155779151,"CD4 Temra"
"Cytotoxicity",0.523566598439591,"CD4 Temra"
"Cytotoxicity",0.660807643222748,"CD4 Temra"
"Cytotoxicity",0.711901030745887,"CD4 Temra"
"Cytotoxicity",0.691311633772312,"CD4 Temra"
"Cytotoxicity",0.571623626413527,"CD4 Temra"
"Cytotoxicity",0.646935592156823,"CD4 Temra"
"Cytotoxicity",0.251150057675082,"CD4 Tfh"
"Cytotoxicity",0.212610839758833,"CD4 Tfh"
"Cytotoxicity",0.162341996147077,"CD4 Tfh"
"Cytotoxicity",0.158578938728078,"CD4 Tfh"
"Cytotoxicity",0.206277034461604,"CD4 Tfh"
"Cytotoxicity",0.191640815631481,"CD4 Tfh"
"Cytotoxicity",0.203754908603215,"CD4 Tfh"
"Cytotoxicity",0.177036179637595,"CD4 Tfh"
"Cytotoxicity",0.173000090622136,"CD4 Tfh"
"Cytotoxicity",0.0907354238222839,"CD4 Tfh"
"Cytotoxicity",0.208450278851654,"CD4 Tfh"
"Cytotoxicity",0.159806507598485,"CD4 Tfh"
"Cytotoxicity",0.194482709870513,"CD4 Tfh"
"Cytotoxicity",0.0929816496277048,"CD4 Tfh"
"Cytotoxicity",0.16201834205742,"CD4 Tfh"
"Cytotoxicity",0.0934047057656608,"CD4 Tfh"
"Cytotoxicity",0.267479590795925,"CD4 Tfh"
"Cytotoxicity",0.17415578993629,"CD4 Tfh"
"Cytotoxicity",0.198768231447485,"CD4 Tfh"
"Cytotoxicity",0.164778912117754,"CD4 Tfh"
"Cytotoxicity",0.214601769788934,"CD4 Tfh"
"Cytotoxicity",0.112973108171818,"CD4 Tfh"
"Cytotoxicity",0.165989076845163,"CD4 Tfh"
"Cytotoxicity",0.22847308221601,"CD4 Tfh"
